username: man1, timestamp: 2024-08-07T11:37:20.457Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-07T11:37:30.515Z, hospital: ABCD, action: logout, session_duration: 10.058 seconds
username: man1, timestamp: 2024-08-07T18:25:48.361Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-08T11:19:46.232Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T10:39:43.591Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T10:49:47.267Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T10:56:12.875Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T11:31:20.765Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T11:35:01.876Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T11:42:20.408Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T11:47:05.054Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T11:49:54.052Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T11:59:39.679Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T12:05:01.298Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T12:10:30.030Z, hospital: ABCD, action: login
username: man1, timestamp: 2024-08-09T12:11:36.913Z, hospital: ABCD, action: login
